1	1	p.adl.G2.txt	2 2 2 2	ἔτους μϛ | Μεσορὴ | δ	year: 46 | month: Mesore | day: 4	ἔτους μϛ Μεσορὴ δ	-0124-08-22	-0124-08-22	0	
12	127	bgu.3.999_1.txt	1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2	βασιλευόντων Πτολεμαίου τοῦ ἐπικαλουμένου Ἀλεξάνδρου | καὶ Βερενίκης τῆς ἀδελφῆς θεῶν Φιλομητόρων | ἔτους ιϛ | ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν | μηνὸς Θωὺθ | γ	king: Ptolemaeus X | king: Cleopatra Berenice III | year: 16 | priest(s):  | month: Thoth | day: 3	βασιλευόντων Πτ[ο]λεμ[α]ίο[υ] τ[ο]ῦ ἐπικαλουμένου Ἀλεξάνδρου καὶ Βερενίκης τῆς ἀδελφῆς θεῶν Φιλομητόρων ἔτους ιϛ ἐφʼ ἱερείων* καὶ ἱερεῶν* καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν μηνὸς Θωὺθ γ	-0099-09-19	-0099-09-19	0	
13	127	bgu.3.999_2.txt	1 1 1 1	ἔτους ιϛ | Φαρμοῦθι | κα	year: 16 | month: Pharmouthi | day: 21	ἔτους ιϛ Φαρμοῦ(θι) κα	-0099-09-19	-0099-09-19	0	
14	128	bgu.3.1000_1.txt	1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2	βασιλευόντων Πτολεμαίου τοῦ ἐπικαλουμένου Ἀλεξάνδρου | καὶ Βερενίκης τῆς ἀδελφῆς θεῶν Φιλομητόρων | ἔτους ιϛ | ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν | μηνὸς Μεσορὴ | ε	king: Ptolemaeus X | king: Cleopatra Berenice III | year: 16 | priest(s):  | month: Mesore | day: 5	βασιλευόντων Πτολεμαίου τοῦ ἐπικαλουμένου Ἀλεξάνδρου καὶ Βερενίκης τῆς ἀδελφῆς θεῶν Φιλομητόρων ἔτους ιϛ ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν μηνὸς Μεσορὴ ε	-0098-08-17	-0098-08-17	0	
15	128	bgu.3.1000_2.txt	1 1 1 1	ἔτους ιϛ | Μεσορὴ | λ	year: 16 | month: Mesore | day: 30	ἔτους ιϛ Μεσορὴ λ	-0098-08-17	-0098-08-17	0	
16	131	p.batav.6_1.txt	1 1 1 1	ἔτους η | Μεχεὶρ | β	year: 8 | month: Mecheir | day: 2	(ἔτους) η Μεχεὶρ β	-0110-11-10	-0110-11-10	0	
17	131	p.batav.6_2.txt	7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 10 10 10 10 11 11 11 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14 14 14 14 15 15 15 15 15 15	βασιλευόντων βασιλίσσης Κλεοπάτρας | καὶ βασιλέως Πτολεμαίου θεῶν Φιλομητόρων Σωτήρων | ἔτους η | ἐφʼ ἱερέως βασιλέως Πτολεμαίου θεοῦ Φιλομήτορος Σωτῆρος Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Εὐπάτορος καὶ θεοῦ Φιλομήτορος καὶ θεοῦ Φιλοπάτορος Νέου καὶ θεοῦ Εὐεργέτου καὶ θεῶν Φιλομητόρων Σωτήρων , ἱεροῦ πώλου Ἴσιδος μεγάλης μητρὸς θεῶν , ἀθλοφόρου Βερενίκης Εὐεργέτιδος , κανηφόρου Ἀρσινόης Φιλαδέλφου , ἱερείας Ἀρσινόης Φιλοπάτορος , τῶν ὄντων ἐν Ἀλεξανδρείαι · |vac=unknown| ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος , ἐφʼ ἱερέων καὶ ἱερισσῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν | μηνὸς Φαῶφι | κβ	king: Cleopatra III | king: Ptolemaeus IX | year: 8 | priest(s):  | month: Phaophi | day: 22	βασιλευόντων βασιλίσσης <Κλεοπάτρας> κα[ὶ] βασιλέως Πτολεμαίου θεῶν Φιλομητόρων Σωτήρων ἔτους η , ἐφʼ ἱερείως* βασιλέως Πτολεμαίου θεοῦ Φιλομήτορος Σωτῆρος Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Εὐπάτορος καὶ θεοῦ [Φι]λομήτορος καὶ θεοῦ Φιλοπάτορος Νέου καὶ θεοῦ Εὐεργέτου καὶ θεῶν Φιλομητόρων Σωτήρων , ἱεροῦ πώλου Ἴσιδος μεγάλης μητρὸς θεῶν , ἀθλοφόρου Βερενίκης Εὐεργέτιδος , κανηφόρου Ἀρσινόης Φιλαδέλφου , ἱερείας Ἀρσινόης Φιλοπάτορος , τῶν ὄντων ἐν Ἀλεξανδρείαι · |vac=unknown| ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος , ἐφʼ ἱερείων* καὶ [ἱ]ερισσῶν κ[α]ὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν · μηνὸς Φαῶφι κβ	-0110-11-10	-0110-11-10	0	
18	131	p.batav.6_4.txt	29 29 29 29	ἔτους η | Φαῶφι | κβ	year: 8 | month: Phaophi | day: 22	ἔτους η Φαῶφι κβ	-0110-11-10	-0110-11-10	0	
19	144	chr.wilck.162_1.txt	1 1 1 1	ἔτους ιθ | Χοιὰχ | ε	year: 19 | month: Choiak | day: 5	ἔτους ιθ Χοιὰχ ε	-0186-01-11	-0186-01-11	0	
20	144	chr.wilck.162_1.txt	3 3 4 4	ἔτους ιε | Φαῶφι | κθ	year: 15 | month: Phaophi | day: 29	ἔτους ιε Φαῶφι κθ̣	-0186-01-11	-0186-01-11	0	
21	212	bgu.6.1259_1.txt	1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2	βασιλευόντων Πτολεμαίου τοῦ ἐπικαλουμένου Ἀλεξάνδρου | καὶ Βερενίκης τῆς ἀδελφῆς θεῶν Φιλομητόρων | ἔτους ιε | ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν | μηνὸς Θῶθ | γ	king: Ptolemaeus X | king: Cleopatra Berenice III | year: 15 | priest(s):  | month: Thoth | day: 3	βασιλευόντων Πτολεμαίου τοῦ ἐπικαλουμένου Ἀλεξάνδρου καὶ Βερενίκης τῆς ἀδελφῆς θεῶν Φιλομητόρων ἔτους ιε ἐφʼ ἱερείων* καὶ ἱερειῶν καὶ κανήφορου τῶν ὄντων καὶ οὐσῶν μηνὸς Θῶθ γ	-0100-09-19	-0100-09-19	0	
22	212	bgu.6.1259_2.txt	12 12 12 12	ἔτους ιε | Μεχεὶρ | ιβ	year: 15 | month: Mecheir | day: 12	ἔτους ιε Μεχεὶρ ιβ	-0100-09-19	-0100-09-19	0	
23	232	bgu.3.993dupl_1.txt	1 1 1 1	ἔτους μγ | Χοιὰχ | ιη	year: 43 | month: Choiak | day: 18	(ἔτους) μγ Χοι(ὰχ) ιη	-0127-01-09	-0127-01-09	0	
24	232	bgu.3.993dupl_2.txt	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 8 8 8 8 8 8 8 8 8 8	βασιλεύοντος Πτολεμαίου θεοῦ Εὐεργέτου τοῦ Πτολεμαίου καὶ Κλεοπάτρας θεῶν Ἐπιφανῶν | καὶ βασιλίσσης Κλεοπάτρας τῆς γυναικὸς θεᾶς Εὐεργέτιδος | ἔτους τρίτου καὶ τεσσαρακοστοῦ | ἐφʼ ἱερέως τοῦ ὄντος ἐν τῶι τοῦ βασιλέως στρατοπέδωι Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Φιλομήτορος καὶ θεοῦ Εὐπάτορος καὶ θεῶν Εὐεργετῶν ἀθλοφόρου Βερενίκης Εὐεργέτιδος κανηφόρου Ἀρσινόης Φιλαδέλφου ἱερείας Ἀρσινόης Φιλοπάτορος τῶν οὐσῶν ἐν τῶι τοῦ βασιλέως στρατοπέδωι , ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος ἐφʼ ἱερέων Πτολεμαίου μὲν Σωτῆρος τῶν ὄντων καὶ οὐσῶν ἐν Πτολεμαίδι | μηνὸς Χοιὰχ | ὀκτωκαιδεκάτῃ	king: Ptolemaeus VIII | king: Cleopatra II | year: 43 | priest(s):  | month: Choiak | day: 18	βασιλεύοντος Πτολεμαίου θεοῦ Εὐεργέτου τοῦ Πτολεμαίου καὶ Κλεοπάτρας θεῶν Ἐπιφανῶν καὶ βασιλίσσης Κλεοπάτρας τῆς γυναικὸς θεᾶς Εὐεργέτιδος ἔτους τρίτου καὶ τεσσαρακοστοῦ ἐφʼ ἱερέως τοῦ ὄντος ἐν τῶι τοῦ βασιλέως στρατοπέδωι Ἀλεξάνδρου καὶ θεῶν Σωτήρων καὶ θεῶν Ἀδελφῶν καὶ θεῶν Εὐεργετῶν καὶ θεῶν Φιλοπατόρων καὶ θεῶν Ἐπιφανῶν καὶ θεοῦ Φιλομήτορος καὶ θεοῦ Εὐπάτορος καὶ θεῶν Εὐεργετῶν ἀθλοφόρου Βερενίκης Εὐεργέτιδος κανηφόρου Ἀρσινόης Φιλαδέλφου ἱερείας Ἀρσινόης Φιλοπάτορος τῶν οὐσῶν ἐν τῶι τοῦ βασιλέως στρατοπέδωι , ἐν δὲ Πτολεμαίδι τῆς Θηβαίδος ἐφʼ ἱερέων Πτολεμαίου μὲν Σωτῆρος τῶν ὄντων καὶ οὐσῶν ἐν Πτολεμαίδι μηνὸς Χοιὰχ ὀκτωκαιδεκάτῃ	-0127-01-09	-0127-01-09	0	
25	232	bgu.3.993dupl_4.txt	1 1 1 1	ἔτους μγ | Μεσορὴ | κβ	year: 43 | month: Mesore | day: 22	ἔτους μγ Μεσορὴ κβ	-0127-01-09	-0127-01-09	0	
26	233	bgu.3.930B_2.txt	1 1	ϛ ἰνδικτίονος	indictio: 6	ϛ ἰ(νδικτίονος)	-0127-01-09	-0127-01-09	1	
27	233	bgu.3.930B_2.txt	1 1	ζ ἰνδικτίονος	indictio: 7	ζ ἰ(νδικτίονος)	-0127-01-09	-0127-01-09	1	
28	233	bgu.3.930B_2.txt	2 2	ζ ἰνδικτίονος	indictio: 7	ζ ἰ(νδικτίονος)	-0127-01-09	-0127-01-09	1	
29	233	bgu.3.930B_2.txt	2 2	ϛ ἰνδικτίονος	indictio: 6	ϛ ἰ(νδικτίονος)	-0127-01-09	-0127-01-09	1	
30	242	bgu.3.997_1.txt	1 1 1 1 1 2 2	ἔτους ιε | τοῦ καὶ ιβ | Ἁθὺρ | ια	year: 15 | year: 12 | month: Hathyr | day: 11	ἔτους ιε τοῦ καὶ ιβ Ἁθὺρ ια	-0103-11-27	-0103-11-27	0	
31	242	bgu.3.997_2.txt	2 2 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3	βασιλευόντων Κλεοπάτρας | καὶ Πτολεμαίου ἐπικαλουμένου Ἀλεξάνδρου τοῦ υἱοῦ θεῶν Φιλομητόρων | ἔτους ιε | τοῦ καὶ ιβ | ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν | μηνὸς Ἁθὺρ | ια	king: Cleopatra III | king: Ptolemaeus X | year: 15 | year: 12 | priest(s):  | month: Hathyr | day: 11	βασιλευόντων Κλεοπάτρας καὶ Πτολεμαίου ἐπικαλουμένου Ἀλεξάνδρου τοῦ υ[ἱ]οῦ θεῶν Φι[λομητ]όρων ἔτους ιε τοῦ καὶ ιβ ἐφʼ ἱερείων* καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν μη[νὸ]ς Ἁθὺρ ι[α]	-0103-11-27	-0103-11-27	0	
32	243	bgu.3.998_1.txt	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2	βασιλεύοντος Πτολεμαίου τοῦ καὶ ἐπικαλουμένου Ἀλεξάνδρου θεοῦ Φιλομήτορος | ἔτους ιδ | ἐφʼ ἱερέων καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν | μηνὸς Χοιὰχ | β	king: Ptolemaeus X | year: 14 | priest(s):  | month: Choiak | day: 2	[βα]σιλεύοντος Πτολεμαίου τοῦ καὶ ἐπικαλουμένου Ἀλεξάνδρου θεοῦ Φιλομήτορος ἔτους ιδ [ἐφʼ] ἱερείων* καὶ ἱερειῶν καὶ κανηφόρου τῶν ὄντων καὶ οὐσῶν μηνὸς Χοιὰχ β	-0101-12-17	-0101-12-17	0	
33	243	bgu.3.998_2.txt	1 1 1 1	ἔτους ιδ | Χοιὰχ | β	year: 14 | month: Choiak | day: 2	ἔτους ιδ Χοιὰχ β	-0101-12-17	-0101-12-17	0	
34	1861	p.zen.pestm.30_2.txt	23 23 23 23	ἔτους ϛ | Μεχεὶρ | ιε	year: 6 | month: Mecheir | day: 15	(ἔτους) ϛ̣ Μεχεὶρ ιε̣	-0241-04-04	-0241-04-04	1	
35	1896	p.zen.pestm.65.txt	3 3 3 3	τῆι |gap=unknown| | τοῦ Χοιὰχ	day: [ ] | month: Choiak	[τῆι] |gap=unknown| τοῦ Χοιὰχ	-0263-01-01	-0229-12-31	0	
36	2493	p.zen.pestm.D_1.txt	9 9 9 9	ἔτους λη | Θῶυθ | κδ	year: 38 | month: Thoth | day: 24	(ἔτους) λη Θῶυθ κδ	-0248-11-16	-0248-11-16	0	
37	2660	bgu.6.1226.txt	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2-3 3 3 3 3 3 3 4 4	βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου | καὶ τοῦ υἱοῦ Πτολεμαίου | ἔτους κϛ | ἐφʼ ἱερέως Ταυρίνου τοῦ Ἀλεξάνδρου Ἀλεξάνδρου καὶ θεῶν Ἀδελφῶν κανηφόρου Ἀρσινόης Φιλαδέλφου Ἀρσινόης τῆς Ποσειδωνίου | μηνὸς Χοιὰκ	king: Ptolemaeus II | king: Ptolemaeus filius | year: 26 | priest(s):  | month: Choiak	βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου κ̣α̣ὶ̣ τ̣ο̣ῦ̣ υ̣ἱ̣ο̣ῦ̣ Πτολε[μαίου] (ἔτους) κϛ ἐφʼ ἱερέως Ταυρίνου τοῦ Ἀλεξάνδρου Ἀλεξάνδρ[ου] καὶ θ̣ε̣[ῶν] [Ἀδελ]-φῶν κανηφό̣ρ̣ο̣υ̣ Ἀ̣ρσ̣ι̣ν̣ό̣η̣ς̣ Φιλαδέλφου Ἀρσινόης τῆς Π̣[οσ]ε̣ι̣δωνίου̣ μηνὸς Χοιὰκ	-0259-01-25	-0259-02-23	0	
